*
*
*postInstalledGenerationCapacityPerUnit (B1420) Data
*
*Document Type,Business Type,Process Type,Time Series ID,Power System Resource  Type,Year,BM Unit ID,Registered Resource EIC Code,Voltage limit,Nominal,NGC BM Unit ID,Registered Resource Name,Active Flag,Document ID,Implementation Date
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052690,Generation,2013,NA,48WSTN0000MDHLW9,275.0,76.0,NA,MDHLW,Y,NGET-EMFIP-CONF-00000849,2013-11-08
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052690,Generation,2013,2__PSTAT002,48W00000MDHLW-1P,,76.0,MDHLW-1,MDHLW-1,Y,NGET-EMFIP-CONF-00000849,2013-11-08
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052638,Generation,2013,NA,48WSTN0000HRSTWC,132.0,126.0,NA,HRSTW,Y,NGET-EMFIP-CONF-00000849,2013-08-20
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052638,Generation,2013,T_HRSTW-1,48W00000HRSTW-19,,126.0,HRSTW-1,HRSTW-1,Y,NGET-EMFIP-CONF-00000849,2013-08-20
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052614,Generation,2013,NA,48WSTN0000BRYBW4,275.0,66.0,NA,BRYBW,Y,NGET-EMFIP-CONF-00000849,2013-08-15
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052614,Generation,2013,E_BRYBW-1,48W00000BRYBW-10,,66.0,BRYBW-1,BRYBW-1,Y,NGET-EMFIP-CONF-00000849,2013-08-15
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052576,Generation,2013,T_LCLTW-1,48W00000LCLTW-1D,,69.0,LCLTW-1,LCLTW-1,Y,NGET-EMFIP-CONF-00000849,2013-10-30
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052576,Generation,2013,NA,48WSTN0000LCLTWH,132.0,69.0,NA,LCLTW,Y,NGET-EMFIP-CONF-00000849,2013-10-30
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002174,"Nuclear",2013,T_WYLF-1,48W000000WYLF-1Y,,335.0,WYLF-1,WYLF-1,Y,NGET-EMFIP-CONF-000000121,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002174,"Nuclear",2013,T_WYLF-2,48W000000WYLF-2W,,335.0,WYLF-2,WYLF-2,Y,NGET-EMFIP-CONF-000000121,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002174,"Nuclear",2013,T_WYLF-3,48W000000WYLF-3U,,335.0,WYLF-3,WYLF-3,Y,NGET-EMFIP-CONF-000000121,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002174,"Nuclear",2013,T_WYLF-4,48W000000WYLF-4S,,335.0,WYLF-4,WYLF-4,Y,NGET-EMFIP-CONF-000000121,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002174,"Nuclear",2013,NA,48WSTN00000WYLFC,400.0,1340.0,WYLF,WYLF,Y,NGET-EMFIP-CONF-000000121,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002169,"Fossil Gas",2013,NA,48WSTN0000WBURB5,400.0,1315.0,WBURB,WBURB,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002169,"Fossil Gas",2013,T_WBURB-1,48W00000WBURB-19,,435.0,WBURB-1,WBURB-1,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002169,"Fossil Gas",2013,T_WBURB-2,48W00000WBURB-27,,445.0,WBURB-2,WBURB-2,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002169,"Fossil Gas",2013,T_WBURB-3,48W00000WBURB-35,,435.0,WBURB-3,WBURB-3,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002168,"Fossil Hard coal",2013,NA,48WSTN0000WBUPSE,400.0,1944.0,WBUPS,WBUPS,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002168,"Fossil Hard coal",2013,T_WBUPS-1,48W00000WBUPS-1P,,480.0,WBUPS-1,WBUPS-1,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002168,"Fossil Hard coal",2013,T_WBUPS-2,48W00000WBUPS-2N,,492.0,WBUPS-2,WBUPS-2,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002168,"Fossil Hard coal",2013,T_WBUPS-3,48W00000WBUPS-3L,,492.0,WBUPS-3,WBUPS-3,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002168,"Fossil Hard coal",2013,T_WBUPS-4,48W00000WBUPS-4J,,480.0,WBUPS-4,WBUPS-4,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002167,"Fossil Oil",2013,NA,48WSTN0000WBUGT2,400.0,40.0,WBUGT,WBUGT,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002167,"Fossil Oil",2013,T_WBUGT-1,48W00000WBUGT-1T,,20.0,WBUGT-1,WBUGT-1,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002167,"Fossil Oil",2013,T_WBUGT-4,48W00000WBUGT-4N,,20.0,WBUGT-4,WBUGT-4,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002163,"Nuclear",2013,NA,48WSTN00000TORNX,400.0,1185.0,TORN,TORN,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002163,"Nuclear",2013,T_TORN-1,48W000000TORN-1G,,590.0,TORN-1,TORN-1,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002163,"Nuclear",2013,T_TORN-2,48W000000TORN-2E,,595.0,TORN-2,TORN-2,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002154,"Fossil Gas",2013,T_STAY-2,48W000000STAY-2W,,457.0,STAY-2,STAY-2,Y,NGET-EMFIP-CONF-00000142,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002154,"Fossil Gas",2013,T_STAY-3,48W000000STAY-3U,,457.0,STAY-3,STAY-3,Y,NGET-EMFIP-CONF-00000142,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002154,"Fossil Gas",2013,T_STAY-4,48W000000STAY-4S,,457.0,STAY-4,STAY-4,Y,NGET-EMFIP-CONF-00000142,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002154,"Fossil Gas",2013,NA,48WSTN00000STAYA,400.0,1816.0,NA,STAY,Y,NGET-EMFIP-CONF-00000142,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002154,"Fossil Gas",2013,T_STAY-1,48W000000STAY-1Y,,445.0,STAY-1,STAY-1,Y,NGET-EMFIP-CONF-00000142,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002150,"Nuclear",2013,T_SIZB-1,48W000000SIZB-1U,,599.0,SIZB-1,SIZB-1,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002150,"Nuclear",2013,T_SIZB-2,48W000000SIZB-2S,,599.0,SIZB-2,SIZB-2,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002150,"Nuclear",2013,NA,48WSTN00000SIZBP,400.0,1198.0,SIZB,SIZB,Y,NGET-EMFIP-CONF-000000122,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002146,"Fossil Gas",2013,T_SHBA-2,48W000000SHBA-2A,,580.0,SHBA-2,SHBA-2,Y,NGET-EMFIP-CONF-00000094,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002146,"Fossil Gas",2013,NA,48WSTN0000SHBABF,400.0,580.0,SHBAB,SHBAB,Y,NGET-EMFIP-CONF-00000094,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002145,"Fossil Gas",2013,T_SHBA-1,48W000000SHBA-1C,,810.0,SHBA-1,SHBA-1,Y,NGET-EMFIP-CONF-00000094,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002145,"Fossil Gas",2013,NA,48WSTN00000SHBAT,400.0,810.0,SHBA,SHBA,Y,NGET-EMFIP-CONF-00000094,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002143,"Fossil Gas",2013,T_SEAB-1,48W000000SEAB-1V,,836.0,SEAB-1,SEAB-1,Y,NGET-EMFIP-CONF-00000098,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002143,"Fossil Gas",2013,T_SEAB-2,48W000000SEAB-2T,,422.0,SEAB-2,SEAB-2,Y,NGET-EMFIP-CONF-00000098,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002143,"Fossil Gas",2013,NA,48WSTN00000SEAB5,400.0,1258.0,SEAB,SEAB,Y,NGET-EMFIP-CONF-00000098,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002134,"Fossil Gas",2013,E_ROOS-1,48W000000ROOS-1P,,0.0,ROOS-1,ROOS-1,Y,NGET-EMFIP-CONF-00000094,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002134,"Fossil Gas",2013,NA,48WSTN00000ROOS5,400.0,0.0,ROOS,ROOS,Y,NGET-EMFIP-CONF-00000094,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002128,"Fossil Gas",2013,E_PETEM1,48W000000PETEM1O,,240.0,PETEM1,PETEM1,Y,NGET-EMFIP-CONF-00000094,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002128,"Fossil Gas",2013,NA,48WSTN00000PETEV,400.0,240.0,PETE,PETE,Y,NGET-EMFIP-CONF-00000094,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002127,"Fossil Gas",2013,T_PEMB-11,48W00000PEMB-11T,,445.0,PEMB-11,PEMB-11,Y,NGET-EMFIP-CONF-00000142,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002127,"Fossil Gas",2013,T_PEMB-21,48W00000PEMB-21Q,,445.0,PEMB-21,PEMB-21,Y,NGET-EMFIP-CONF-00000142,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002127,"Fossil Gas",2013,T_PEMB-31,48W00000PEMB-31N,,445.0,PEMB-31,PEMB-31,Y,NGET-EMFIP-CONF-00000142,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002127,"Fossil Gas",2013,T_PEMB-41,48W00000PEMB-41K,,445.0,PEMB-41,PEMB-41,Y,NGET-EMFIP-CONF-00000142,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002127,"Fossil Gas",2013,NA,48WSTN00000PEMBL,400.0,2225.0,NA,PEMB,Y,NGET-EMFIP-CONF-00000142,2013-01-01
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002127,"Fossil Gas",2013,T_PEMB-51,48W00000PEMB-51H,,445.0,PEMB-51,PEMB-51,Y,NGET-EMFIP-CONF-00000142,2013-01-01
