*
*
*Actual Generation Output Per Generation Unit (B1610) Data
*
*Document Type,Business Type,Process Type,Time Series ID,Quantity,Curve Type,Resolution,Settlement Date,Settlement Period,Power System Resource  Type,Registered Resource EIC Code,Market Generation Unit EIC Code,Market Generation BMU Id,Market Generation NGC BMU Id,BM Unit ID,NGC BM Unit ID,Active Flag,Document ID,Document RevNum
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6177,18.576,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W00000GRGBW-2T,48W00000GRGBW-2T,T_GRGBW-2,GRGBW-2,T_GRGBW-2,GRGBW-2,Y,ELX-EMFIP-AGOG-1905231,1
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6207,189.41,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W000000LOAN-27,48W000000LOAN-27,T_LOAN-2,LOAN-2,T_LOAN-2,LOAN-2,Y,ELX-EMFIP-AGOG-1905231,1
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6215,212.05,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W00000PEMB-21Q,48W00000PEMB-21Q,T_PEMB-21,PEMB-21,T_PEMB-21,PEMB-21,Y,ELX-EMFIP-AGOG-1905231,1
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6232,213.45,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W000000STAY-2W,48W000000STAY-2W,T_STAY-2,STAY-2,T_STAY-2,STAY-2,Y,ELX-EMFIP-AGOG-1905231,1
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6143,166.383,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W00000CNQPS-48,48W00000CNQPS-48,T_CNQPS-4,CNQPS-4,T_CNQPS-4,CNQPS-4,Y,ELX-EMFIP-AGOG-1905231,1
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6083,1.832,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W00000GLOFW-15,48W00000GLOFW-15,E_GLOFW-1,GLOFW-1,E_GLOFW-1,GLOFW-1,Y,ELX-EMFIP-AGOG-1905231,1
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6130,259.986,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W0000000ABTH7Y,48W0000000ABTH7Y,T_ABTH7,ABTH7,T_ABTH7,ABTH7,Y,ELX-EMFIP-AGOG-1905231,1
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6189,251.882,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W000000HINB-85,48W000000HINB-85,T_HINB-8,HINB-8,T_HINB-8,HINB-8,Y,ELX-EMFIP-AGOG-1905231,1
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6180,0.175,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W00000GRIFW-2Y,48W00000GRIFW-2Y,T_GRIFW-2,GRIFW-2,T_GRIFW-2,GRIFW-2,Y,ELX-EMFIP-AGOG-1905231,1
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6245,235.825,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W00000WBUPS-4J,48W00000WBUPS-4J,T_WBUPS-4,WBUPS-4,T_WBUPS-4,WBUPS-4,Y,ELX-EMFIP-AGOG-1905231,1
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6173,71.9,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W100000GRAI-6N,48W100000GRAI-6N,T_GRAI-6,GRAI-6,T_GRAI-6,GRAI-6,Y,ELX-EMFIP-AGOG-1905231,1
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6073,1.094,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W00000BRYBW-10,48W00000BRYBW-10,E_BRYBW-1,BRYBW-1,E_BRYBW-1,BRYBW-1,Y,ELX-EMFIP-AGOG-1905231,1
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6205,13.154,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W00000LNCSO-2P,48W00000LNCSO-2P,T_LNCSW-2,LNCSO-2,T_LNCSW-2,LNCSO-2,Y,ELX-EMFIP-AGOG-1905231,1
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6222,180.95,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W000000SCCL-1U,48W000000SCCL-1U,T_SCCL-1,SCCL-1,T_SCCL-1,SCCL-1,Y,ELX-EMFIP-AGOG-1905231,1
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6164,4.538,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W00000FALGW-1T,48W00000FALGW-1T,T_FALGW-1,FALGW-1,T_FALGW-1,FALGW-1,Y,ELX-EMFIP-AGOG-1905231,1
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6159,322.306,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W00000DRAXX-64,48W00000DRAXX-64,T_DRAXX-6,DRAXX-6,T_DRAXX-6,DRAXX-6,Y,ELX-EMFIP-AGOG-1905231,1
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6251,16.54,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W00000WHILW-1M,48W00000WHILW-1M,T_WHILW-1,WHILW-1,T_WHILW-1,WHILW-1,Y,ELX-EMFIP-AGOG-1905231,1
Actual generation,Production,Realised,ELX-EMFIP-AGOG-TS-6178,15.855,Sequential fixed size block,PT30M,2015-05-01,24,Generation,48W00000GRGBW-3R,48W00000GRGBW-3R,T_GRGBW-3,GRGBW-3,T_GRGBW-3,GRGBW-3,Y,ELX-EMFIP-AGOG-1905231,1
