BM Units Registered with Central Registration Agency 
 
BM Unit ID,BMU Name,Party Name,Party ID,BMU Type,NGC BMU Name,GSP Group Id,GSP Group Name,Trading Unit Name,Prod/Cons Flag,Prod/Cons Status,TLF,GC,DC,CALF,BMCAIC,BMCAEC,Exempt Export Flag,Base TU Flag,FPN Flag,Interconnector Id,Effective From, Manual Credit Qualifying Flag, Credit Qualifying Status
2__AALTI000,"2__AALTI000","GB Energy Supply Limited",ALTITUDE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.4898,0,0,F,T,F,,01/03/15,,F
2__AANGE000,"2__AANGE000","Angel Energy Limited",ANGEL,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.4898,0,0,F,T,F,,01/03/15,,F
2__AAXIS000,"2__AAXIS000","Axis Telecom Ltd",AXISTELE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.4417,0,0,F,T,F,,01/03/15,,F
2__AAXPO000,"2__AAXPO000","AXPO UK LIMITED",EGLUK,G,"EAS-AXPO1",_A,"Eastern GSP Group","DEFAULT__A",,C,0,35,-2,.4898,-.98,17.143,F,T,F,,21/04/15,,F
2__ABARB000,"2__ABARB000","Barbican Power Limited",BARBICAN,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.4898,0,0,F,T,F,,01/03/15,,F
2__ABAYS000,"2__ABAYS000","Bayswater Energy Limited",BAYSWATE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.4898,0,0,F,T,F,,01/03/15,,F
2__ABGAS000,"2__ABGAS000","British Gas Trading Ltd",BRITGAS,G,"EAS-BGS01",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-808,.4674,-377.659,0,F,T,T,,01/03/15,,F
2__ABIZZ000,"2__ABIZZ000","British Gas Trading Ltd",BRITGAS,G,"EAS-BIZ01",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.4898,0,0,F,T,F,,01/03/15,,F
2__ABNRG000,"2__ABNRG000","Electricity Plus Supply Ltd",BAENERGY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-65.4764,.5155,-33.753,0,F,T,F,,01/03/15,,F
2__ACALL000,"2__ACALL000","Extra Energy Supply Limited",CALLISTO,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-31.072,.4898,-15.219,0,F,T,F,,01/03/15,,F
2__ACIRC000,"2__ACIRC000","Flow Energy Ltd",CIRCUIT,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,4.92,-2.09,.4895,-1.023,2.408,F,T,F,,01/03/15,,F
2__ACIRC001,"FLOWHH_A1","Flow Energy Ltd",CIRCUIT,S,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.4898,0,0,F,T,F,,01/03/15,F,F
2__ACNDL000,"2__ACNDL000","NEAS Energy Limited",CNDA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,80,0,.1552,0,12.416,F,T,F,,01/03/15,,F
2__ACNRG000,"2__ACNRG000","Opus Energy (Corporate) Ltd",CHENERGY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-46.12,.6095,-28.11,0,F,T,F,,08/04/15,,F
2__ACOOP000,"2__ACOOP000","I Supply Energy Limited",COOP,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,-14.49,.5508,-7.981,0,F,T,F,,01/03/15,,F
2__ACOUL000,"2__ACOUL000","Coulomb Energy Supply Limited",COULOMB,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.4898,0,0,F,T,F,,01/03/15,,F
2__ACROW000,"2__ACROW000","Reuben Power Supply Limited",CROWELEC,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.4898,0,0,F,T,F,,01/03/15,,F
2__ADNRG000,"2__ADNRG000","Donnington Energy Limited",DOENERGY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,0,0,0,.4898,0,0,F,T,F,,01/03/15,,F
